Column	Type	Name	Size	Score	P value	Benj. Hoch. FDR	Mean	Median
#!{Type}C	C	C	N	N	N	N	N	N
LFQ intensity 401#1	Keywords	Ribonucleoprotein	53	0.913732546245517	1.00086214049767E-29	2.59223294388898E-27	35.1742768557567	35.2970695495605
LFQ intensity 401#1	Keywords	Ribosomalprotein	52	0.918206467162081	1.74335111537488E-29	2.25763969441047E-27	35.2230522082402	35.326171875
LFQ intensity 401#2	Keywords	Ribonucleoprotein	53	0.907057093849547	2.53139876565425E-29	6.5563228030445E-27	35.0960647654983	35.2500419616699
LFQ intensity 401#2	Keywords	Ribosomalprotein	52	0.911870413817202	4.15573464723777E-29	5.38167636817291E-27	35.1451128079341	35.2834339141846
LFQ intensity 401#3	Keywords	Ribonucleoprotein	53	0.901799373497487	5.18486886573553E-29	1.3428810362255E-26	34.9467163085938	35.0305862426758
LFQ intensity 401#4	Keywords	Ribonucleoprotein	53	0.900632988435788	6.13484071100929E-29	1.58892374415141E-26	34.898844485013	35.0679206848145
LFQ intensity 401#3	Keywords	Ribosomalprotein	52	0.905861983675489	9.35480926829081E-29	1.21144780024366E-26	34.9922475081224	35.067310333252
LFQ intensity 401#4	Keywords	Ribosomalprotein	52	0.905110846600208	1.04291666780655E-28	1.35057708480948E-26	34.945892737462	35.1410179138184
LFQ intensity WT#3	Keywords	Ribonucleoprotein	53	0.890799582078545	2.44912873644374E-28	6.34324342738929E-26	34.8829567747296	35.0866622924805
LFQ intensity WT#3	Keywords	Ribosomalprotein	52	0.895132211538462	4.16817176774646E-28	5.39778243923167E-26	34.9285237605755	35.0971622467041
LFQ intensity WT#1	Keywords	Ribonucleoprotein	53	0.883781873141241	6.31329676603637E-28	1.63514386240342E-25	34.8569505799491	35.1219711303711
LFQ intensity WT#1	Keywords	Ribosomalprotein	52	0.888178477429607	1.05207412750335E-27	1.36243599511683E-25	34.9009385475746	35.1239356994629
LFQ intensity WT#2	Keywords	Ribonucleoprotein	53	0.876659903534243	1.65653853842455E-27	4.29043481451959E-25	34.7346564598803	35.107234954834
LFQ intensity WT#2	Keywords	Ribosomalprotein	52	0.88006138006138	3.11434371982462E-27	4.03307511717289E-25	34.774185364063	35.1109867095947
LFQ intensity WT#4	Keywords	Ribonucleoprotein	53	0.863219673085318	1.01023928994468E-26	2.61651976095672E-24	34.6100140337674	34.9151420593262
LFQ intensity WT#4	Keywords	Ribosomalprotein	52	0.866286250679314	1.93443289088407E-26	2.50509059369487E-24	34.6464354074918	34.9307804107666
LFQ intensity 401#1	Keywords	RNA-binding	66	0.651335489280153	2.98402526732564E-19	2.57620848079114E-17	33.5620954975937	34.147123336792
LFQ intensity 401#1	Keywords	rRNA-binding	36	0.861111111111111	9.24664904299961E-19	5.98720525534225E-17	35.0288811789619	35.4543476104736
LFQ intensity 401#2	Keywords	RNA-binding	66	0.639518961719355	1.27765879334565E-18	1.10304542492174E-16	33.4653566244877	34.0153503417969
LFQ intensity 401#3	Keywords	RNA-binding	66	0.637661494897056	1.58081013544981E-18	1.36476608360501E-16	33.3685947765004	33.9582138061523
LFQ intensity 401#4	Keywords	RNA-binding	66	0.635663729027425	2.02698897825838E-18	1.74996715122973E-16	33.337616891572	33.9675273895264
LFQ intensity 401#2	Keywords	rRNA-binding	36	0.84414472275744	4.31375502313651E-18	2.79315637748089E-16	34.8858864042494	35.4060821533203
LFQ intensity 401#3	Keywords	rRNA-binding	36	0.842492396916331	4.96726834312746E-18	3.21630625217503E-16	34.7581079271105	35.003978729248
LFQ intensity 401#4	Keywords	rRNA-binding	36	0.840441749982273	5.98666444951258E-18	3.87636523105939E-16	34.6972339948018	35.283052444458
LFQ intensity WT#2	Keywords	RNA-binding	66	0.625462416371507	6.95677134531858E-18	6.00601259479171E-16	33.2508072997584	33.8143920898438
LFQ intensity WT#3	Keywords	RNA-binding	65	0.623092075357341	1.61786108382034E-17	1.3967534023649E-15	33.3243899712196	33.7606964111328
LFQ intensity WT#3	Keywords	rRNA-binding	36	0.825493986254295	2.28472772789552E-17	1.47936120381235E-15	34.629880534278	35.0219020843506
LFQ intensity WT#2	Keywords	rRNA-binding	36	0.822894550601557	2.84523823359764E-17	1.84229175625447E-15	34.5218916998969	35.0791091918945
LFQ intensity WT#4	Keywords	RNA-binding	66	0.612973546220468	3.06856727576631E-17	2.64919641474491E-15	33.1732594750144	33.8174076080322
LFQ intensity WT#1	Keywords	rRNA-binding	36	0.819577564785232	3.81768087646373E-17	3.29593115668035E-15	34.6016099717882	35.1196460723877
LFQ intensity WT#1	Keywords	RNA-binding	66	0.606721942552562	6.43875333912864E-17	4.1690927870858E-15	33.2417311234908	33.8753395080566
