LFQ intensity 401#1,LFQ intensity 401#2,LFQ intensity 401#3,LFQ intensity 401#4,LFQ intensity WT#1,LFQ intensity WT#2,LFQ intensity WT#3,LFQ intensity WT#4,C: Only identified by site,C: Reverse,C: Potential contaminant,C: Student's T-test Significant MT_WT,C: Student's T-test significant,N: Peptides,N: Razor + unique peptides,N: Unique peptides,N: Sequence coverage [%],N: Unique + razor sequence coverage [%],N: Unique sequence coverage [%],N: Mol. weight [kDa],N: Q-value,N: Score,N: Intensity,N: MS/MS count,N: -Log Student's T-test p-value MT_WT,N: Student's T-test q-value MT_WT,N: Student's T-test Difference MT_WT,N: Student's T-test Test statistic MT_WT,T: Protein IDs,T: Majority protein IDs,T: id,Entry Name,Protein names,Gene Names,Organism,Length,Gene Ontology (biological process),Gene Ontology (cellular component),Gene Ontology (molecular function),Keywords
29.5161,29.6438,29.3988,29.0955,29.4228,29.3005,29.6583,29.9986,,,,,,13,13,13,18.9,18.9,18.9,88.58,0,23.168,6825100000,37,0.415729,0.518724,-0.181482,-0.596276,A6T4E2,A6T4E2,0,A6T4E2_KLEP7,Bifunctional aspartokinase/homoserine dehydrogenase [Includes: Aspartokinase (EC 2.7.2.4); Homoserine dehydrogenase (EC 1.1.1.3)],thrA KPN_00002,Klebsiella pneumoniae subsp. pneumoniae (strain ATCC 700721 / MGH 78578),820,lysine biosynthetic process via diaminopimelate [GO:0009089]; phosphorylation [GO:0016310]; threonine biosynthetic process [GO:0009088],,aspartate kinase activity [GO:0004072]; ATP binding [GO:0005524]; homoserine dehydrogenase activity [GO:0004412]; NADP binding [GO:0050661],Amino-acid biosynthesis;ATP-binding;Kinase;Multifunctional enzyme;NADP;Nucleotide-binding;Oxidoreductase;Threonine biosynthesis;Transferase
31.3779,31.5278,31.3547,31.0607,31.2385,31.0773,31.3221,30.8823,,,,,,18,18,18,52.1,52.1,52.1,46.695,0,315.98,20913000000,123,0.70783,0.382456,0.200241,0.805017,A6T4E4,A6T4E4,2,A6T4E4_KLEP7,Threonine synthase (EC 4.2.3.1),thrC KPN_00004,Klebsiella pneumoniae subsp. pneumoniae (strain ATCC 700721 / MGH 78578),426,threonine biosynthetic process [GO:0009088],,pyridoxal phosphate binding [GO:0030170]; threonine synthase activity [GO:0004795],Amino-acid biosynthesis;Pyridoxal phosphate;Threonine biosynthesis
29.5834,29.7576,30.3695,29.9407,30.4235,30.0464,30.5183,30.3241,,,,,,13,13,13,66.5,66.5,66.5,29.546,0,60.79,9741800000,50,1.09781,0.152945,-0.415257,-1.34694,A6T4E6,A6T4E6,3,Y006_KLEP7,UPF0246 protein KPN78578_00060,KPN78578_00060 KPN_00006,Klebsiella pneumoniae subsp. pneumoniae (strain ATCC 700721 / MGH 78578),257,,,,
35.7257,35.6383,35.4889,35.3508,35.5434,35.3966,35.406,35.2856,,,,,,35,35,35,89.3,89.3,89.3,35.266,0,323.31,3.96E+11,955,0.709687,0.456311,0.143032,0.683695,A6T4E8;A6T7I8,A6T4E8,4,A6T4E8_KLEP7,Transaldolase (EC 2.2.1.2),talB tal KPN_00008,Klebsiella pneumoniae subsp. pneumoniae (strain ATCC 700721 / MGH 78578),317,carbohydrate metabolic process [GO:0005975]; pentose-phosphate shunt [GO:0006098],cytoplasm [GO:0005737],transaldolase activity [GO:0004801],Cytoplasm;Pentose shunt;Schiff base;Transferase
30.3196,30.4879,30.6674,30.4497,30.5999,30.4713,30.6387,30.3149,,,,,,10,10,10,49.7,49.7,49.7,21.289,0,52.924,12540000000,110,0.0889254,0.904326,-0.0250683,-0.117391,A6T4E9,A6T4E9,5,A6T4E9_KLEP7,Molybdenum cofactor biosynthesis protein,mogA KPN_00009,Klebsiella pneumoniae subsp. pneumoniae (strain ATCC 700721 / MGH 78578),195,Mo-molybdopterin cofactor biosynthetic process [GO:0006777],,,Molybdenum cofactor biosynthesis
37.6362,37.6143,37.4841,37.3393,37.1557,36.9573,36.9505,37.0168,,,,+,MT_WT,73,73,73,81.7,81.7,81.7,69.108,0,323.31,1.42E+12,2832,3.00608,0.0316694,0.49841,2.56227,A6T4F4,A6T4F4,6,DNAK_KLEP7,Chaperone protein DnaK (HSP70) (Heat shock 70 kDa protein) (Heat shock protein 70),dnaK KPN78578_00140 KPN_00014,Klebsiella pneumoniae subsp. pneumoniae (strain ATCC 700721 / MGH 78578),638,,,ATP binding [GO:0005524]; ATP-dependent protein folding chaperone [GO:0140662]; unfolded protein binding [GO:0051082],ATP-binding;Chaperone;Nucleotide-binding;Phosphoprotein;Stress response
32.9166,32.7487,32.6307,32.7215,32.4423,32.1456,32.2818,32.3757,,,,+,MT_WT,23,23,23,53.8,53.8,53.8,41.01,0,289.11,52116000000,246,2.63192,0.0457381,0.443011,2.22812,A6T4F5,A6T4F5,7,DNAJ_KLEP7,Chaperone protein DnaJ,dnaJ KPN78578_00150 KPN_00015,Klebsiella pneumoniae subsp. pneumoniae (strain ATCC 700721 / MGH 78578),377,DNA replication [GO:0006260]; protein folding [GO:0006457]; response to heat [GO:0009408],cytoplasm [GO:0005737],ATP binding [GO:0005524]; heat shock protein binding [GO:0031072]; unfolded protein binding [GO:0051082]; zinc ion binding [GO:0008270],Chaperone;Cytoplasm;DNA replication;Metal-binding;Repeat;Stress response;Zinc;Zinc-finger
35.3823,35.1801,34.7341,34.6101,34.9422,34.6677,34.8629,34.62,,,,,,8,8,8,68.9,68.9,68.9,6.7349,0,98.867,2.68E+11,355,0.46368,0.474729,0.203431,0.65817,A6T4F8,A6T4F8,8,A6T4F8_KLEP7,30S ribosomal protein S20,rpsT KPN_00018,Klebsiella pneumoniae subsp. pneumoniae (strain ATCC 700721 / MGH 78578),61,translation [GO:0006412],ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840],rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735],Ribonucleoprotein;Ribosomal protein;RNA-binding;rRNA-binding
26.6858,27.4147,27.8841,28.1285,27.6564,28.5627,28.4962,28.9606,,,,,,9,9,9,45.5,45.5,45.5,34.371,0,41.483,2389700000,41,1.10844,0.0917556,-0.890671,-1.67882,A6T4F9,A6T4F9,9,A6T4F9_KLEP7,Riboflavin biosynthesis protein [Includes: Riboflavin kinase (EC 2.7.1.26) (Flavokinase); FMN adenylyltransferase (EC 2.7.7.2) (FAD pyrophosphorylase) (FAD synthase)],ribF KPN_00020,Klebsiella pneumoniae subsp. pneumoniae (strain ATCC 700721 / MGH 78578),312,FAD biosynthetic process [GO:0006747]; FMN biosynthetic process [GO:0009398]; phosphorylation [GO:0016310]; riboflavin biosynthetic process [GO:0009231],,ATP binding [GO:0005524]; FMN adenylyltransferase activity [GO:0003919]; riboflavin kinase activity [GO:0008531],ATP-binding;FAD;Flavoprotein;FMN;Kinase;Nucleotide-binding;Nucleotidyltransferase;Transferase
33.9282,33.6691,33.6931,33.74,33.8023,33.716,33.9709,33.6148,,,,,,50,50,50,66.5,66.5,66.5,102.72,0,323.31,1.21E+11,623,0.0686008,0.925285,-0.0183802,-0.0889206,A6T4G0,A6T4G0,10,A6T4G0_KLEP7,Isoleucine--tRNA ligase (EC 6.1.1.5) (Isoleucyl-tRNA synthetase) (IleRS),ileS KPN_00021,Klebsiella pneumoniae subsp. pneumoniae (strain ATCC 700721 / MGH 78578),922,isoleucyl-tRNA aminoacylation [GO:0006428],cytoplasm [GO:0005737],aminoacyl-tRNA editing activity [GO:0002161]; ATP binding [GO:0005524]; isoleucine-tRNA ligase activity [GO:0004822]; tRNA binding [GO:0000049]; zinc ion binding [GO:0008270],Aminoacyl-tRNA synthetase;ATP-binding;Cytoplasm;Ligase;Metal-binding;Nucleotide-binding;Protein biosynthesis;Zinc
