LFQ intensity 401#1	LFQ intensity 401#2	LFQ intensity 401#3	LFQ intensity 401#4	LFQ intensity WT#1	LFQ intensity WT#2	LFQ intensity WT#3	LFQ intensity WT#4	Only identified by site	Reverse	Potential contaminant	Student's T-test Significant MT_WT	Student's T-test significant	Keywords	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Q-value	Score	Intensity	MS/MS count	-Log Student's T-test p-value MT_WT	Student's T-test q-value MT_WT	Student's T-test Difference MT_WT	Student's T-test Test statistic MT_WT	Protein IDs	Majority protein IDs	id
#!{Type}E	E	E	E	E	E	E	E	C	C	C	C	C	C	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	T	T	T
#!{C:Group1}MT	MT	MT	MT	WT	WT	WT	WT																								
29.5160808563232	29.6438369750977	29.3988075256348	29.0955200195313	29.4228401184082	29.3004684448242	29.6582641601563	29.9986000061035						Completeproteome;Kinase;Referenceproteome;Transferase	13	13	13	18.9	18.9	18.9	88.58	0	23.168	6825100000	37	0.41572866799751	0.518723828514457	-0.181481838226318	-0.59627567960776	A6T4E2	A6T4E2	0
31.3778762817383	31.5278053283691	31.3546848297119	31.0607223510742	31.2384853363037	31.0773105621338	31.3220596313477	30.8822708129883						Completeproteome;Referenceproteome	18	18	18	52.1	52.1	52.1	46.695	0	315.98	20913000000	123	0.70782987174647	0.382456310679612	0.200240612030029	0.805016572472843	A6T4E4	A6T4E4	2
29.5834274291992	29.7576084136963	30.3695278167725	29.9406967163086	30.4235210418701	30.0463523864746	30.5183143615723	30.3241004943848						Completeproteome;Referenceproteome	13	13	13	66.5	66.5	66.5	29.546	0	60.79	9741800000	50	1.09781394500671	0.152944680851064	-0.415256977081299	-1.34694387426479	A6T4E6	A6T4E6	3
35.7256813049316	35.6382789611816	35.488941192627	35.3508377075195	35.5433731079102	35.3966255187988	35.4060363769531	35.2855758666992						Completeproteome;Cytoplasm;Pentoseshunt;Referenceproteome;Schiffbase;Transferase	35	35	35	89.3	89.3	89.3	35.266	0	323.31	396180000000	955	0.709686931916955	0.456311015118791	0.143032073974609	0.683694702654604	A6T4E8;A6T7I8	A6T4E8	4
30.3195858001709	30.4878826141357	30.6673774719238	30.4497299194336	30.5999221801758	30.4713096618652	30.6386680603027	30.3149490356445						Completeproteome;Referenceproteome	10	10	10	49.7	49.7	49.7	21.289	0	52.924	12540000000	110	0.0889254307730615	0.904326421404682	-0.0250682830810547	-0.11739057181347	A6T4E9	A6T4E9	5
37.6361885070801	37.6142768859863	37.4841194152832	37.3393020629883	37.1556816101074	36.9572906494141	36.9504623413086	37.0168113708496				+	MT_WT	ATP-binding;Chaperone;Completeproteome;Nucleotide-binding;Phosphoprotein;Referenceproteome;Stressresponse	73	73	73	81.7	81.7	81.7	69.108	0	323.31	1417900000000	2832	3.00608086933439	0.0316694214876033	0.498410224914551	2.56226642646225	A6T4F4	A6T4F4	6
32.9165573120117	32.7486915588379	32.6306838989258	32.721549987793	32.4423332214355	32.1456146240234	32.2817878723145	32.3757019042969				+	MT_WT	Chaperone;Completeproteome;Cytoplasm;DNAreplication;Metal-binding;Referenceproteome;Repeat;Stressresponse;Zinc;Zinc-finger	23	23	23	53.8	53.8	53.8	41.01	0	289.11	52116000000	246	2.63191863170267	0.0457380952380952	0.443011283874512	2.22812457586541	A6T4F5	A6T4F5	7
35.3823280334473	35.1800880432129	34.7340850830078	34.6100578308105	34.9421844482422	34.6677055358887	34.862907409668	34.6200370788574						Completeproteome;Referenceproteome;Ribonucleoprotein;Ribosomalprotein	8	8	8	68.9	68.9	68.9	6.7349	0	98.867	267980000000	355	0.463679595531836	0.474728616684266	0.203431129455566	0.658170477287526	A6T4F8	A6T4F8	8
