LFQ intensity 401#1	LFQ intensity 401#2	LFQ intensity 401#3	LFQ intensity 401#4	LFQ intensity WT#1	LFQ intensity WT#2	LFQ intensity WT#3	LFQ intensity WT#4	Only identified by site	Reverse	Potential contaminant	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Q-value	Score	Intensity	MS/MS count	Protein IDs	Majority protein IDs	id
#!{Type}E	E	E	E	E	E	E	E	C	C	C	N	N	N	N	N	N	N	N	N	N	N	T	T	T
#!{C:Group1}MT	MT	MT	MT	WT	WT	WT	WT																	
29.5160808563232	29.6438369750977	29.3988075256348	29.0955200195313	29.4228401184082	29.3004684448242	29.6582641601563	29.9986000061035				13	13	13	18.9	18.9	18.9	88.58	0	23.168	6825100000	37	A6T4E2	A6T4E2	0
31.3778762817383	31.5278053283691	31.3546848297119	31.0607223510742	31.2384853363037	31.0773105621338	31.3220596313477	30.8822708129883				18	18	18	52.1	52.1	52.1	46.695	0	315.98	20913000000	123	A6T4E4	A6T4E4	2
29.5834274291992	29.7576084136963	30.3695278167725	29.9406967163086	30.4235210418701	30.0463523864746	30.5183143615723	30.3241004943848				13	13	13	66.5	66.5	66.5	29.546	0	60.79	9741800000	50	A6T4E6	A6T4E6	3
35.7256813049316	35.6382789611816	35.488941192627	35.3508377075195	35.5433731079102	35.3966255187988	35.4060363769531	35.2855758666992				35	35	35	89.3	89.3	89.3	35.266	0	323.31	396180000000	955	A6T4E8;A6T7I8	A6T4E8	4
30.3195858001709	30.4878826141357	30.6673774719238	30.4497299194336	30.5999221801758	30.4713096618652	30.6386680603027	30.3149490356445				10	10	10	49.7	49.7	49.7	21.289	0	52.924	12540000000	110	A6T4E9	A6T4E9	5
37.6361885070801	37.6142768859863	37.4841194152832	37.3393020629883	37.1556816101074	36.9572906494141	36.9504623413086	37.0168113708496				73	73	73	81.7	81.7	81.7	69.108	0	323.31	1417900000000	2832	A6T4F4	A6T4F4	6
32.9165573120117	32.7486915588379	32.6306838989258	32.721549987793	32.4423332214355	32.1456146240234	32.2817878723145	32.3757019042969				23	23	23	53.8	53.8	53.8	41.01	0	289.11	52116000000	246	A6T4F5	A6T4F5	7
35.3823280334473	35.1800880432129	34.7340850830078	34.6100578308105	34.9421844482422	34.6677055358887	34.862907409668	34.6200370788574				8	8	8	68.9	68.9	68.9	6.7349	0	98.867	267980000000	355	A6T4F8	A6T4F8	8
26.6857872009277	27.4146595001221	27.8841342926025	28.128490447998	27.6563549041748	28.5626735687256	28.4961757659912	28.9605522155762				9	9	9	45.5	45.5	45.5	34.371	0	41.483	2389700000	41	A6T4F9	A6T4F9	9
33.9282188415527	33.669132232666	33.6931190490723	33.7400283813477	33.802318572998	33.7159996032715	33.9709167480469	33.6147842407227				50	50	50	66.5	66.5	66.5	102.72	0	323.31	120740000000	623	A6T4G0	A6T4G0	10
28.6326675415039	28.7750186920166	29.3897495269775	29.8375873565674	29.1784515380859	29.8072261810303	30.3107299804688	30.027624130249				6	6	6	38.9	38.9	38.9	16.155	0	107.07	6715200000	55	A6T4G2	A6T4G2	11
29.6040649414063	29.7024307250977	29.2024250030518	29.4127426147461	28.9892082214355	29.0731391906738	29.8660850524902	29.5752258300781				9	9	9	31.3	31.3	31.3	34.447	0	146.08	5953300000	50	A6T4G3	A6T4G3	12
30.9338912963867	31.0447902679443	31.0606575012207	31.2092628479004	31.0901775360107	31.257661819458	30.8884525299072	31.2706394195557				16	16	16	61.5	61.5	61.5	28.647	0	159.85	19233000000	151	A6T4H8	A6T4H8	13
28.3486194610596	28.3359870910645	28.5051021575928	28.387882232666	27.8225021362305	27.628396987915	28.0298118591309	27.8652591705322				6	6	6	25.8	25.8	25.8	42.165	0	9.9329	2450800000	12	A6T4H9	A6T4H9	14
29.7305908203125	29.8050289154053	29.9483776092529	30.096097946167	30.3978481292725	30.1223812103271	30.2700824737549	30.0313110351563				31	31	31	37.9	37.9	37.9	118	0	107	8945100000	85	A6T4I0	A6T4I0	15
27.8265686035156	28.1958236694336	27.4423713684082	27.8340644836426	27.5001335144043	26.7078037261963	28.0448932647705	27.9310607910156				4	4	4	46.8	46.8	46.8	8.2341	0	40.423	1751500000	21	A6T4I1	A6T4I1	16
26.4403305053711	26.979564666748	27.3343257904053	27.0690727233887	28.0954704284668	26.4651470184326	27.3891143798828	27.0356960296631				3	3	3	33.5	33.5	33.5	17.889	0	9.7855	1206200000	3	A6T4I2	A6T4I2	17
29.5061435699463	28.8912811279297	29.2688331604004	29.4908885955811	29.6225452423096	29.7052021026611	30.1889572143555	29.5919570922852				8	8	8	42.1	42.1	42.1	17.965	0	44.586	6573100000	66	A6T4I4	A6T4I4	18
26.8176307678223	27.0514430999756	27.5998859405518	27.4049491882324	27.1312408447266	28.9742393493652	28.2960529327393	28.0770416259766				6	6	6	33	33	33	31.607	0	40.182	2015800000	26	A6T4I5	A6T4I5	19
